"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2014","49","49005","Cache County (UT)","114,638","16,303","14,141","18,465","14,141 to 18,465","14.2","12.3","16.1","12.3 to 16.1","36,572","4,681","3,636","5,726","3,636 to 5,726","12.8","9.9","15.7","9.9 to 15.7","25,637","3,157","2,411","3,903","2,411 to 3,903","12.3","9.4","15.2","9.4 to 15.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,735","$50,032","$53,438","$50,032 to $53,438"
"2013","49","49005","Cache County (UT)","113,037","16,042","13,762","18,322","13,762 to 18,322","14.2","12.2","16.2","12.2 to 16.2","36,117","5,114","4,070","6,158","4,070 to 6,158","14.2","11.3","17.1","11.3 to 17.1","25,118","3,417","2,633","4,201","2,633 to 4,201","13.6","10.5","16.7","10.5 to 16.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,556","$46,648","$52,464","$46,648 to $52,464"
"2012","49","49005","Cache County (UT)","111,741","17,518","15,382","19,654","15,382 to 19,654","15.7","13.8","17.6","13.8 to 17.6","35,304","5,271","4,246","6,296","4,246 to 6,296","14.9","12.0","17.8","12.0 to 17.8","24,260","3,542","2,804","4,280","2,804 to 4,280","14.6","11.6","17.6","11.6 to 17.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,609","$44,566","$50,652","$44,566 to $50,652"
"2011","49","49005","Cache County (UT)","110,980","18,567","16,455","20,679","16,455 to 20,679","16.7","14.8","18.6","14.8 to 18.6","35,245","5,870","4,923","6,817","4,923 to 6,817","16.7","14.0","19.4","14.0 to 19.4","23,996","3,545","2,829","4,261","2,829 to 4,261","14.8","11.8","17.8","11.8 to 17.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,589","$44,629","$50,549","$44,629 to $50,549"
"2010","49","49005","Cache County (UT)","109,675","17,323","15,167","19,479","15,167 to 19,479","15.8","13.8","17.8","13.8 to 17.8","35,564","5,841","4,822","6,860","4,822 to 6,860","16.4","13.5","19.3","13.5 to 19.3","24,040","3,704","3,002","4,406","3,002 to 4,406","15.4","12.5","18.3","12.5 to 18.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,367","$45,434","$49,300","$45,434 to $49,300"
"2009","49","49005","Cache County (UT)","112,064","18,744","16,687","20,800","16,687 to 20,800","16.7","14.9","18.6","14.9 to 18.6","35,251","5,000","4,074","5,925","4,074 to 5,925","14.2","11.6","16.8","11.6 to 16.8","23,371","3,015","2,394","3,636","2,394 to 3,636","12.9","10.2","15.6","10.2 to 15.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,064","$43,865","$50,263","$43,865 to $50,263"
"2008","49","49005","Cache County (UT)","109,877","13,020","11,021","15,020","11,021 to 15,020","11.8","10.0","13.7","10.0 to 13.7","35,728","3,835","3,063","4,608","3,063 to 4,608","10.7","8.6","12.9","8.6 to 12.9","23,106","2,297","1,783","2,811","1,783 to 2,811","9.9","7.7","12.2","7.7 to 12.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,023","$46,884","$53,161","$46,884 to $53,161"
"2007","49","49005","Cache County (UT)","105,985","13,698","11,574","15,823","11,574 to 15,823","12.9","10.9","14.9","10.9 to 14.9","33,740","3,938","3,133","4,743","3,133 to 4,743","11.7","9.3","14.1","9.3 to 14.1","22,154","2,199","1,706","2,692","1,706 to 2,692","9.9","7.7","12.2","7.7 to 12.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,883","$43,721","$50,044","$43,721 to $50,044"
"2006","49","49005","Cache County (UT)","95,935","12,476","10,548","14,404","10,548 to 14,404","13.0","11.0","15.0","11.0 to 15.0","31,578","3,672","2,975","4,369","2,975 to 4,369","11.6","9.4","13.8","9.4 to 13.8","20,137","2,187","1,729","2,645","1,729 to 2,645","10.9","8.6","13.1","8.6 to 13.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,890","$41,586","$46,194","$41,586 to $46,194"
"2005","49","49005","Cache County (UT)","94,541","14,090","12,456","15,724","12,456 to 15,724","14.9","13.2","16.6","13.2 to 16.6","28,941","3,753","3,141","4,365","3,141 to 4,365","13.0","10.9","15.1","10.9 to 15.1","18,248","2,117","1,710","2,524","1,710 to 2,524","11.6","9.4","13.8","9.4 to 13.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,879","$39,776","$43,983","$39,776 to $43,983"
